Binary Name,Github account/repo,Release Tag,Endswith,Renamed Binary
miniserve,svenstaro/miniserve,~>0.23
hurl,Orange-OpenSource/hurl,~>4.0,86_64-linux.tar.gz 
hyperfine,sharkdp/hyperfine,~>1.15
htmlq,mgdm/htmlq,~>0.4,86_64-linux.tar.gz 
yq_linux_amd64,mikefarah/yq,~>4.35,,yq
hck-linux-amd64,sstadick/hck,~>0.9.2,linux-amd64,hck
doggo,mr-karan/doggo,~>0.5
zet,yarrow/zet,~>1.0,x86_64-unknown-linux-gnu.tar.xz 
fzf,junegunn/fzf,~>0.33
tokei,XAMPPRocky/tokei,~>12.1
starship,starship/starship,~>1.10
lolcate,ngirard/lolcate-rs,~>0.10
procs,dalance/procs,~>0.14,x86_64-linux.zip
difft,Wilfred/difftastic,~>0.36,linux-gnu.tar.gz
delta,dandavison/delta,~>0.14
just,casey/just,~>1.5
watchexec,watchexec/watchexec,~>1.20,x86_64-unknown-linux-musl.tar.xz
bat,sharkdp/bat,~>0.22
rg,BurntSushi/ripgrep,~>13.0
sd,chmln/sd,~>0.7
lsd,lsd-rs/lsd,~>0.23
exa,ogham/exa,~>0.10
fd,sharkdp/fd,~>8.4
btm,ClementTsang/bottom,~>0.9
dua,Byron/dua-cli,~>2.20
zoxide,ajeetdsouza/zoxide,~>0.8
rust-parallel,aaronriekenberg/rust-parallel,~>1.8,x86_64-unknown-linux-gnu.tar.gz 
undock,crazy-max/undock,~>0.5
